22,1,3,Nxzshzxgiw 7046180 kjzijtldobfdepg TCOXWAOUGBWVDR
92,6,5,Lhxsbnoixh 5903169 fbdablqpujxugxq BMWMKKYLTFGWYG
89,2,3,Qdjybmgfca 5435963 auddisksjlabshw DYUQPAICTVKORX
68,16,4,Oxpendgsup 9508889 agtsajwpjpslepe KOUEGAKXLHXDQX
84,10,4,Zsfzmutmnx 1346416 nerxzculmiujxka VXSOKNPJLXQMXS
25,10,3,Piobfvfzqq 6961021 jowytcblspozrik GMXEIKLLNQZMKU
39,17,4,Kuzqpshtrl 6991729 spapqowrfqimhvx HTNMLBCLDLQPLL
4,1,3,Kcsfgjpnjx 9181168 fmdgstwxjdiiimj IKJLQDAHZMOEVL
62,6,4,Tvpsdthwtd 8142472 fkskgsxxfsmipdb IYCICJOTBHHYQX
86,2,5,Pkltrggzuh 6971317 hzguargxjlziqdv WPDAXINIZSWZEL
66,12,4,Kzynmebscd 0097696 keeudvrqxqsnatz IGEDDYFQPOAEHK
84,9,5,Udaclrdxol 7218096 fawujlpkquxicbl OKEKQTEJDBYDBJ
65,13,0,
83,1,0,Sontrxylrw 2797609 tcdgbjstoxptjfe NTBYVZPZFGCRMB
56,10,0,
25,12,2,Anhwcawvqw 0844000 yswvxirdbigorjo MQITPKUAFGVWRG
30,6,1,
22,16,1,
31,12,0,Uipzjxlwwf 8799276 ekyhbsqfqnszkmt FYHMENEBLOPRAB
58,18,1,Uibylzszdb 7902403 zbpbhjyjzezdhgu MARELLGAPERGQM
47,17,0,Phxwhoxclj 0495131 hzjijvawxzhkvat FYTDYEMHGIUVYA
52,16,0,Eyzgwbrxwi 6132893 vgwxjndfwbfmiyq THUUVZDVFWCYRV
2,19,1,Jbzgqfohyi 3625866 xdphfgkepzlmkye VDNTBUVEZYFHGS
99,16,4,Lfhaztfsgp 9893097 njrnqjbsidtjzwr DXWXPJGYBUCESY
11,18,4,Nsolshgqos 7965317 ygieacsrmzqfnxj YWRVMMZWTOFVLG
35,2,4,Wfjvijmbfq 0289054 lybwxcxtaixupwq GJYCATFSFONRWP
80,16,0,Brnzpenirk 8541442 gtghoiffdbjkode HKLLFONUMTUQVI
50,15,4,Uymtxzqmfo 6976447 ggszmvywaewvfhp LEHAXYEFHAZBGW
95,2,4,Oxesnkzupe 2848191 ftpimoowgadvvpe EOLLOAIGLKWTET
75,7,4,Qqhhhyyrsx 4421265 dymvnxagjdsemxc MUOQLSLCDVWZNM
47,2,1,
8,20,4,Dakqhlfrfv 4402258 dsoaydnbwtderwa GIZEAZHFIJKZWZ
46,1,0,Noaujtcmxc 3611587 seaxjxdwtktravh VRMYLQLOYQETPU
38,9,2,Khnwzigosc 1254756 jtmgwxakqsisikp THIYRGQRDJQNGN
42,15,0,Pvdnkszbjs 8207031 ohofkcyjzzdtrbp ORDJZTXGXWTAXP
96,4,1,Zgpyvnvapk 5952548 ardwmjcstavkqag MFKDLCLOESHPVR
46,18,1,Qxaacpomii 8326439 fpanbfgrforpomb MERCHVSNGOXTWT
74,16,2,Bxpqxrsuyv 2984641 gnmmnwxrbvdkxgr TUGDGESULEULLL
18,16,2,Iuroibudpt 0638952 qkqgtflliuxmixc VSGKJWNEJSEWPF
74,2,2,Onwdrshpbk 7732642 dgamjghsfxyrdzb UKLDRUBTVHGCYY
66,13,5,Ulapbtpgvi 7803985 thfewyifqinurty MEVYOVQEWHDJKR
36,10,4,Tdgiflwoxi 7021349 hksweaekkdpqkma SJFGUFQSEOSHKJ
32,11,2,Oqaoqwnewz 6710564 etskymbtwdiedzk KESJABEZPHNJMX
8,6,0,Tfwxwvxzha 5369881 ruuhiosyqealmex JESYTBMNCIRHIA
80,18,5,Uxyekjdhwr 9388680 jghxqrckmnphgqu XGDAYSHAOPZDAS
20,14,4,Iotpaxjihv 3919123 tbajfurxtgctneh LHVHJJTIBOPUGV
19,8,5,Ltjigilpom 5145341 resjexpkaclimpq LFNPYKECFDSNKL
26,13,4,Ldfkfqiliv 4145172 zitbepiuqpzsfct UFJIALGVNZYDFC
91,7,0,Hjgpnekhlo 3455715 bbktnkiltmvzxfe UEXMIOQKMDZPYB
77,17,1,Uipgwyowpi 5622764 tmivzmhyxlzzmef DFFHWSGXXCZDQT
5,20,5,Coifkehqik 7125008 teltdhzpirnngma BPIFMLZVLMAYSR
71,8,0,
8,12,4,Qdznutkrpj 5780037 hquisdioragjlxa SWONXPSHHDZIPB
64,7,5,Obkpypenea 6955538 pnfysixflyjaatk FXKQBKQOKFOCQY
25,10,0,Qzrhvmltca 3588872 hyyftasnaeehtao OIBBMQMYXTHWPB
50,20,1,Zeprxcipzz 4068437 ieypknxjvjcvewr KNFMDBUMNBDZGN
91,18,5,Tgcgxjvjsn 3289411 djlrsxgpekpethc NVIYUXROMFDHRL
63,8,3,
