23,18
32,20
51,4
56,18
32,3
39,13
66,18
68,16
82,18
11,9
1,10
43,20
16,7
81,12
33,4
90,7
67,15
31,1
99,2
35,13
76,20
48,1
25,3
48,16
20,11
55,11
59,13
29,5
73,18
52,4
67,18
47,11
98,1
39,15
93,18
86,10
56,18
52,11
42,6
79,2
87,17
60,7
6,13
34,17
45,10
71,3
26,5
69,7
37,7
51,13
36,12
39,20
47,11
8,17
87,12
5,10
4,4
74,14
87,1
96,17
92,14
95,7
67,20
21,13
9,20
61,4
99,9
46,13
97,16
7,12
68,10
8,11
9,16
76,16
100,3
1,8
74,8
75,14
52,20
46,16
30,14
7,8
66,15
54,19
94,11
88,14
63,19
32,10
20,3
45,20
61,5
31,3
84,7
99,10
75,5
31,10
43,7
61,14
7,7
12,6
62,14
88,14
86,2
66,20
54,3
61,19
80,12
27,5
1,13
25,14
12,20
42,7
81,9
36,9
48,19
10,15
51,7
74,9
42,4
21,20
98,7
27,2
64,13
19,11
29,8
43,2
9,6
84,12
10,15
41,15
44,13
10,12
9,5
24,18
30,18
73,14
64,18
59,7
61,6
32,19
54,4
33,14
81,12
90,12
33,6
82,12
41,12
57,8
70,2
20,1
46,15
36,10
29,8
82,1
34,7
49,2
79,12
34,4
64,6
45,20
49,3
23,18
84,6
77,13
100,9
30,20
52,8
74,2
32,8
84,2
52,8
45,8
88,10
14,7
5,9
48,7
83,12
5,12
37,3
84,5
17,2
32,10
66,19
16,16
88,18
2,16
7,6
10,2
95,14
41,7
50,4
65,2
3,12
91,16
6,10
15,4
44,10
98,19
65,12
1,2
82,14
21,20
16,15
25,11
61,19
32,17
8,10
15,6
5,13
23,2
48,7
80,1
64,17
54,13
59,2
42,5
73,15
88,12
74,3
9,17
21,6
37,16
90,1
23,11
95,19
65,8
26,19
74,20
74,18
23,17
76,16
40,6
65,13
61,8
25,14
28,19
19,5
74,9
44,2
43,3
86,7
70,19
29,1
96,1
29,18
70,16
16,1
85,1
85,14
53,1
65,17
43,12
60,1
29,15
22,8
61,4
11,10
84,13
67,11
63,9
38,12
64,19
9,9
97,10
39,7
76,2
2,8
29,20
58,8
53,5
82,5
97,12
83,14
20,8
61,16
49,3
48,6
78,9
4,14
93,9
38,8
69,7
15,6
89,4
46,14
66,7
11,8
77,9
5,19
3,8
69,13
58,20
78,9
54,9
78,10
99,5
40,1
28,20
92,16
92,2
61,16
84,3
56,16
24,8
74,15
11,16
16,6
20,17
75,6
33,19
71,2
87,18
16,11
4,2
42,12
69,18
17,5
30,1
45,9
82,19
30,8
23,16
2,12
64,8
43,7
54,12
45,16
43,15
95,5
75,4
10,7
29,11
30,3
65,7
43,19
98,18
53,19
69,20
43,10
58,7
56,9
17,1
27,9
66,3
39,6
58,11
17,4
33,7
56,19
3,20
72,6
29,9
6,1
5,16
57,8
100,1
88,3
75,4
71,11
30,5
85,4
77,16
91,19
58,6
42,4
61,1
14,2
71,17
51,3
79,11
80,8
36,3
67,13
100,13
57,16
84,2
10,18
20,6
21,16
35,19
89,4
54,10
7,14
22,19
90,13
26,5
6,9
54,12
26,3
63,2
38,9
98,8
59,11
98,17
60,11
99,10
19,9
58,16
83,2
84,11
12,11
41,4
48,3
32,16
58,16
72,14
81,5
34,18
92,14
37,13
56,14
81,16
62,18
40,10
71,8
59,9
99,14
26,20
15,6
71,16
86,10
9,8
75,9
59,11
78,20
95,4
87,6
2,13
67,15
44,19
74,13
81,20
76,5
69,3
22,3
28,17
71,14
58,16
90,1
57,5
46,7
77,20
58,1
29,17
20,9
49,20
42,16
74,15
31,13
86,17
64,2
51,1
16,6
73,10
88,17
34,15
2,12
43,12
98,4
35,3
60,8
13,18
98,1
73,19
89,15
67,12
5,16
10,12
13,1
30,15
54,2
99,19
40,4
20,11
14,15
29,3
4,1
42,11
23,19
79,19
70,2
31,7
70,19
57,1
24,14
16,17
4,11
54,3
69,20
58,17
81,7
54,15
71,16
45,20
3,2
14,9
42,9
49,17
23,17
13,15
